id,ADM1_FR,ADM1_PCODE,ADM1_EN,ADM2_EN,ADM2_PCODE
1277,NORD-EST,HT04,North-East,VALLIERES,HT0441
1035,OUEST,HT01,West,LEOGANE,HT0121
1200,CENTRE,HT06,Centre,MIREBALAIS,HT0621
981,ARTIBONITE,HT05,Artibonite,GROS MORNE,HT0521
984,ARTIBONITE,HT05,Artibonite,L'ESTERE,HT0513
1279,CENTRE,HT06,Centre,CERCA CARVAJAL,HT0614
993,OUEST,HT01,West,LEOGANE,HT0121
743,SUD,HT07,South,AQUIN,HT0731
1159,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
1073,OUEST,HT01,West,ARCAHAIE,HT0141
1067,ARTIBONITE,HT05,Artibonite,ENNERY,HT0512
1069,ARTIBONITE,HT05,Artibonite,DESSALINES,HT0541
490,SUD,HT07,South,CAMP-PERRIN,HT0714
896,NORD-OUEST,HT09,North-West,BASSIN BLEU,HT0913
906,OUEST,HT01,West,ANSE A GALETS,HT0151
1275,NORD-EST,HT04,North-East,TERRIER ROUGE,HT0433
1242,CENTRE,HT06,Centre,MIREBALAIS,HT0621
813,ARTIBONITE,HT05,Artibonite,ANSE ROUGE,HT0523
404,GRANDE'ANSE,HT08,Grande'Anse,ROSEAUX,HT0832
1064,NORD,HT03,North,PORT-MARGOT,HT0352
532,SUD,HT07,South,MANICHE,HT0715
939,ARTIBONITE,HT05,Artibonite,GROS MORNE,HT0521
1152,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
1107,NORD,HT03,North,ACUL DU NORD,HT0321
1246,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
826,NIPPES,HT10,Nippes,MIRAGOANE,HT1011
1112,ARTIBONITE,HT05,Artibonite,DESSALINES,HT0541
1247,SUD-EST,HT02,South-East,BELLE ANSE,HT0231
1111,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
1157,CENTRE,HT06,Centre,SAUT D'EAU,HT0622
1367,CENTRE,HT06,Centre,BELLADERE,HT0632
1286,OUEST,HT01,West,GANTHIER,HT0133
364,SUD,HT07,South,LES ANGLAIS,HT0752
687,NORD-OUEST,HT09,North-West,BOMBARDOPOLIS,HT0933
1317,NORD-EST,HT04,North-East,FORT-LIBERTE,HT0411
1318,NORD-EST,HT04,North-East,FORT-LIBERTE,HT0411
447,GRANDE'ANSE,HT08,Grande'Anse,BEAUMONT,HT0833
1360,NORD-EST,HT04,North-East,OUANAMINTHE,HT0421
827,SUD,HT07,South,AQUIN,HT0731
1205,SUD-EST,HT02,South-East,BELLE ANSE,HT0231
910,OUEST,HT01,West,PETIT-GOAVE,HT0122
321,GRANDE'ANSE,HT08,Grande'Anse,MORON,HT0814
1203,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
980,ARTIBONITE,HT05,Artibonite,GROS MORNE,HT0521
1326,CENTRE,HT06,Centre,SAVANETTE,HT0633
1029,ARTIBONITE,HT05,Artibonite,VERRETTES,HT0532
953,SUD-EST,HT02,South-East,BAINET,HT0221
911,SUD-EST,HT02,South-East,BAINET,HT0221
1243,OUEST,HT01,West,THOMAZEAU,HT0132
1241,CENTRE,HT06,Centre,MIREBALAIS,HT0621
1072,ARTIBONITE,HT05,Artibonite,VERRETTES,HT0532
1071,ARTIBONITE,HT05,Artibonite,VERRETTES,HT0532
821,OUEST,HT01,West,ANSE A GALETS,HT0151
1036,SUD-EST,HT02,South-East,JACMEL,HT0211
1363,CENTRE,HT06,Centre,CERCA LA SOURCE,HT0641
779,OUEST,HT01,West,POINTE A RAQUETTE,HT0152
1289,SUD-EST,HT02,South-East,BELLE ANSE,HT0231
1195,CENTRE,HT06,Centre,MAISSADE,HT0612
1278,NORD-EST,HT04,North-East,MOMBIN CROCHU,HT0443
1283,CENTRE,HT06,Centre,LASCAHOBAS,HT0631
863,OUEST,HT01,West,ANSE A GALETS,HT0151
1109,ARTIBONITE,HT05,Artibonite,SAINT-MICHEL DE L'ATTALAYE,HT0551
1155,ARTIBONITE,HT05,Artibonite,PETITE RIVIERE DE L'ARTIBONITE,HT0542
1030,OUEST,HT01,West,ARCAHAIE,HT0141
617,SUD,HT07,South,SAINT LOUIS DU SUD,HT0732
573,NIPPES,HT10,Nippes,BARADERES,HT1031
405,GRANDE'ANSE,HT08,Grande'Anse,ROSEAUX,HT0832
1158,OUEST,HT01,West,CROIX-DES-BOUQUETS,HT0131
